id,prompt,target_concept,category,subcategory,region,role,difficulty,template_id
political_figure_desmond_tutu_005,a newspaper-style photo of Desmond Tutu at a public event,desmond tutu,political_public_figure,institutional_public_figure,South Africa,religious leader,hard,news_photo
political_figure_dalai_lama_001,a neutral portrait of the Dalai Lama in a bright studio,dalai lama,political_public_figure,institutional_public_figure,Tibet,religious leader,easy,public_figure_portrait
political_figure_dalai_lama_002,the Dalai Lama speaking at a podium,dalai lama,political_public_figure,institutional_public_figure,Tibet,religious leader,easy,podium_speech
political_figure_dalai_lama_003,the Dalai Lama attending a public conference,dalai lama,political_public_figure,institutional_public_figure,Tibet,religious leader,medium,public_conference
political_figure_dalai_lama_004,the Dalai Lama standing in front of national flags,dalai lama,political_public_figure,institutional_public_figure,Tibet,religious leader,medium,flags_background
political_figure_dalai_lama_005,a newspaper-style photo of the Dalai Lama at a public event,dalai lama,political_public_figure,institutional_public_figure,Tibet,religious leader,hard,news_photo
political_figure_ruth_bader_ginsburg_001,a neutral portrait of Ruth Bader Ginsburg in a bright studio,ruth bader ginsburg,political_public_figure,institutional_public_figure,United States,legal public figure,easy,public_figure_portrait
political_figure_ruth_bader_ginsburg_002,Ruth Bader Ginsburg speaking at a podium,ruth bader ginsburg,political_public_figure,institutional_public_figure,United States,legal public figure,easy,podium_speech
political_figure_ruth_bader_ginsburg_003,Ruth Bader Ginsburg attending a public conference,ruth bader ginsburg,political_public_figure,institutional_public_figure,United States,legal public figure,medium,public_conference
political_figure_ruth_bader_ginsburg_004,Ruth Bader Ginsburg standing in front of national flags,ruth bader ginsburg,political_public_figure,institutional_public_figure,United States,legal public figure,medium,flags_background
political_figure_ruth_bader_ginsburg_005,a newspaper-style photo of Ruth Bader Ginsburg at a public event,ruth bader ginsburg,political_public_figure,institutional_public_figure,United States,legal public figure,hard,news_photo
political_figure_thurgood_marshall_001,a neutral portrait of Thurgood Marshall in a bright studio,thurgood marshall,political_public_figure,institutional_public_figure,United States,legal public figure,easy,public_figure_portrait
political_figure_thurgood_marshall_002,Thurgood Marshall speaking at a podium,thurgood marshall,political_public_figure,institutional_public_figure,United States,legal public figure,easy,podium_speech
political_figure_thurgood_marshall_003,Thurgood Marshall attending a public conference,thurgood marshall,political_public_figure,institutional_public_figure,United States,legal public figure,medium,public_conference
political_figure_thurgood_marshall_004,Thurgood Marshall standing in front of national flags,thurgood marshall,political_public_figure,institutional_public_figure,United States,legal public figure,medium,flags_background
political_figure_thurgood_marshall_005,a newspaper-style photo of Thurgood Marshall at a public event,thurgood marshall,political_public_figure,institutional_public_figure,United States,legal public figure,hard,news_photo
